LetterPair,Algorithm
UG,"[R : [F2, R' U R U']]"
UJ,"[U' R': [U2, R' D R]]"
UK,"[U' R': [U, R' D R]]"
UL,"[R D: [R' D' R, U]]"
UM,"[UD R' U': [D', R U R']]"
UN,"[U' R': [U', R' D R]]"
UO,"[x': [R U2 R', D2]]"
UP,"[D' R: [U', R D' R']]"
UQ,"[R: [U, R D2 R']]"
UR,"[U' R' U: [D, R U' R']]"
UT,"[R D R' D: [D2, R U R']]"
UV,"[U' R' F' : [R U' R', D']]"
UW,"[U' R2: [R2 U R2 U' R2, D]]"
UX,"[x U: [R' D R, U2]]"
VA,"[D R D' R': [U2, R' D R]]"
VB,"[U' R' D R: [U, R D' R']]"
VD,"[D R D' R': [U', R' D R]]"
VE,"[D' R UD: [U2, R' D' R]]"
VH,"[R U' R': [U2, R' D R]]"
VJ,"[U' D' R': [U2, R' D R]]"
VK,"[R U' D' R' : [U2, R' D R]]"
VM,"[U R' U': [D', R U R']]"
VN,"[U'D' R': [U', R' D R]]"
VO,"[U'D' R': [U, R' D R]]"
VP,"[D' R D: [R' D' R, U]]"
VQ,"[D2 R: [U, R D' R']]"
VR,"[R U' R': [U2, R' D' R]]"
VS,"[UD R D' : [R' D R, U']]"
VT,"[D2 R: [U', R D' R']]"
VU,"[U' R' F' : [D', R U' R']]"
VW,"[F' R U': [R' D' R, U2]]"
VX,"[R U' R' U: [R D' R', U2]]"
WA,"[R D' R': [U2, R' D R]]"
WB,"[U R D' R': [R' D R, U']]"
WD,"[R D' R': [U', R' D R]]"
WE,"[D R: [U2, R D' R']]"
WG,"[U R D': [R' D R, U']]"
WH,"[D R: [U', R D' R']]"
WJ,"[F': [R D R', U2]]"
WL,"[R U' R' D R: [R D' R', U]]"
WM,"[D R U': [D', R' U R]]"
WN,"[U R : [R U' R', D']]"
WO,"[U R: [R U' R', D2]]"
WP,"[R U' D' : [R' U R, D2]]"
WQ,"[D R: [U, R D' R']]"
WR,"[z: [R U R', D2]]"
WS,"[U R : [R U' R', D]]"
WT,"[R D' R': [U, R' D R]]"
WU,"[U' R2: [D, R2 U R2 U' R2]]"
WV,"[F' R U': [U2, R' D' R]]"
WX,"[z: [R U2 R', D2]]"
XA,"[D' R D' R': [U2, R' D R]]"
XB,"[x: [D2, R' U' R]]"
XD,"[R' D' R : [D, R U' R']]"
XE,"[R: [U2, R D' R']]"
XG,"[z: [D, R U2 R']]"
XH,"[Lw' D: [U', R' D' R]]"
XJ,"[U'D R': [U2, R' D R]]"
XK,"[R2 D2: [D, R U R']]"
XL,"[R: [U', R D' R']]"
XM,"[R U': [D', R' U R]]"
XN,"[U'D R': [U', R' D R]]"
XQ,"[R: [U, R D' R']]"
XR,"[R2 D2: [D, R U' R']]"
XS,"[F': [D2, R U' R']]"
XU,"[x U: [U2, R' D R]]"
XV,"[R U' R' U: [U2, R D' R']]"
XW,"[z: [D2, R U2 R']]"
