LetterPair,Algorithm
WE,"[D R: [U2, R D' R']]"
XE,"[R: [U2, R D' R']]"
HG,"R, [U L' U']"
JG,"[U' R' U: [U2, R D R']]"
KG,"[U: [D', R U' R']]"
MG,"[D' R' U: [D, R U' R']]"
NG,"[R: [R, U' L' U]]"
OG,"[U: [D2, R U' R']]"
PG,"[D R D: [D2, R' U' R]]"
UG,"[R : [F2, R' U R U']]"
WG,"[U R D': [R' D R, U']]"
XG,"[z: [D, R U2 R']]"
JH,"[F' U: [U2, R' D' R]]"
KH,"[R D: [R' U' R, D]]"
LH,"R U R', [D]"
MH,"U L' U', [R']"
NH,"[D x': [D', R U' R']]"
OH,"[D' R D': [D2, R' U' R]]"
PH,"[D: [D2, R U R']]"
VH,"[R U' R': [U2, R' D R]]"
WH,"[D R: [U', R D' R']]"
XH,"[Lw' D: [U', R' D' R]]"
KJ,"[U R U': [U2, R' D' R]]"
LJ,"[U' R' U'D: [U2, R D' R']]"
NJ,"[U R: [R D R', U2]]"
OJ,"[U' R' U': [U2, R D' R']]"
PJ,"[UD R: [R D' R', U2]]"
UJ,"[U' R': [U2, R' D R]]"
VJ,"[U' D' R': [U2, R' D R]]"
WJ,"[F': [R D R', U2]]"
XJ,"[U'D R': [U2, R' D R]]"
LK,"[R D': [U, R' D R]]"
MK,"[U' R U: [D, R' U' R]]"
NK,"[R' U: [U, R' D' R]]"
OK,"[U': [D', R' U' R]]"
UK,"[U' R': [U, R' D R]]"
VK,"[R U' D' R' : [U2, R' D R]]"
XK,"[R2 D2: [D, R U R']]"
ML,"[R D: [U', R D' R']]"
NL,"[x': [D', R U' R']]"
OL,"[x': [D', R U2 R']]"
PL,"D', [R U R']"
UL,"[R D: [R' D' R, U]]"
WL,"[R U' R' D R: [R D' R', U]]"
XL,"[R: [U', R D' R']]"
NM,"U' L' U, [R]"
OM,"[R' U: [R U' R', D2]]"
PM,"[R U': [D, R' U R]]"
UM,"[UD R' U': [D', R U R']]"
VM,"[U R' U': [D', R U R']]"
WM,"[D R U': [D', R' U R]]"
XM,"[R U': [D', R' U R]]"
ON,"[U' R' U': [U', R D' R']]"
PN,"[R2 U : [U2, R D R']]"
UN,"[U' R': [U', R' D R]]"
VN,"[U'D' R': [U', R' D R]]"
WN,"[U R : [R U' R', D']]"
XN,"[U'D R': [U', R' D R]]"
PO,"[U': [U' L U, R']]"
UO,"[x': [R U2 R', D2]]"
VO,"[U'D' R': [U, R' D R]]"
WO,"[U R: [R U' R', D2]]"
UP,"[D' R: [U', R D' R']]"
VP,"[D' R D: [R' D' R, U]]"
WP,"[R U' D' : [R' U R, D2]]"
VU,"[U' R' F' : [D', R U' R']]"
WU,"[U' R2: [D, R2 U R2 U' R2]]"
XU,"[x U: [U2, R' D R]]"
WV,"[F' R U': [U2, R' D' R]]"
XV,"[R U' R' U: [U2, R D' R']]"
XW,"[z: [D2, R U2 R']]"
